dataset,target,held_out_country,eligible_for_training,test_rows,test_events,test_non_events,test_event_rate,test_months,test_start_month,test_end_month,test_class_count,has_two_test_classes,fold_status,diagnostic_reason,pr_auc_reliability,f1_reliability,train_rows,train_events,train_event_rate,validation_rows,validation_events,validation_event_rate,validation_stratified,random_seed,validation_size,min_test_rows,min_train_rows
waqd2024,PM25_p95_rel_p90_h1,Australia,True,13,1,12,0.07692307692307693,13,2020-07,2024-01,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,197,35,0.17766497461928935,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Canada,True,11,3,8,0.2727272727272727,11,2021-01,2024-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,198,33,0.16666666666666666,36,6,0.16666666666666666,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Chile,False,4,2,2,0.5,4,2018-08,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,China,True,16,1,15,0.0625,16,2019-10,2023-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,194,35,0.18041237113402062,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Colombia,False,2,0,2,0.0,2,2022-03,2022-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Finland,False,1,1,0,1.0,1,2024-02,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,France,True,19,1,18,0.05263157894736842,19,2018-12,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,192,35,0.18229166666666666,34,6,0.17647058823529413,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Germany,False,6,4,2,0.6666666666666666,6,2019-11,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,India,True,11,0,11,0.0,11,2018-04,2022-09,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,198,36,0.18181818181818182,36,6,0.16666666666666666,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Italy,False,1,0,1,0.0,1,2024-02,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Japan,False,1,0,1,0.0,1,2024-02,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Mexico,True,14,3,11,0.21428571428571427,14,2021-08,2024-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,196,33,0.1683673469387755,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Norway,False,6,0,6,0.0,6,2023-07,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Poland,True,11,0,11,0.0,11,2020-07,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,198,36,0.18181818181818182,36,6,0.16666666666666666,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,South Africa,True,13,3,10,0.23076923076923078,13,2022-04,2023-04,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,197,33,0.16751269035532995,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Spain,False,3,1,2,0.3333333333333333,3,2023-12,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Sweden,False,2,0,2,0.0,2,2024-01,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Thailand,True,16,4,12,0.25,16,2022-06,2024-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,194,32,0.16494845360824742,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Turkey,False,2,0,2,0.0,2,2023-03,2023-04,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,United Kingdom,True,12,3,9,0.25,12,2021-05,2024-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,198,33,0.16666666666666666,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,United States,True,81,15,66,0.18518518518518517,81,2016-08,2023-04,2,True,usable,test fold has both classes and enough support for cautious aggregation,usable,usable,139,23,0.16546762589928057,25,4,0.16,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Australia,True,9,1,8,0.1111111111111111,9,2020-12,2023-10,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,175,37,0.21142857142857144,31,6,0.1935483870967742,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Canada,True,14,2,12,0.14285714285714285,14,2019-02,2023-11,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,170,36,0.21176470588235294,31,6,0.1935483870967742,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,China,True,17,1,16,0.058823529411764705,17,2019-05,2023-05,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,168,36,0.21428571428571427,30,7,0.23333333333333334,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,France,True,16,2,14,0.125,16,2019-01,2023-12,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,169,36,0.21301775147928995,30,6,0.2,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Germany,False,4,4,0,1.0,4,2019-09,2023-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,India,True,8,1,7,0.125,8,2019-08,2022-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,175,36,0.2057142857142857,32,7,0.21875,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Mexico,True,13,4,9,0.3076923076923077,13,2022-10,2023-12,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,171,34,0.19883040935672514,31,6,0.1935483870967742,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Norway,False,5,1,4,0.2,5,2021-03,2023-12,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Poland,False,7,0,7,0.0,7,2020-12,2023-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,South Africa,True,13,4,9,0.3076923076923077,13,2022-02,2023-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,171,34,0.19883040935672514,31,6,0.1935483870967742,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Spain,False,3,3,0,1.0,3,2023-10,2023-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h3,Sweden,False,2,0,2,0.0,2,2022-10,2023-01,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
